,corn,olives,mushrooms,spinach,pineapple,artichoke,chilli,pepper,onion,mozzarella,egg,pepperoni,beef,chicken,bacon,vegan,vegetarian,meaty
0,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True
1,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,True
2,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True
3,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
4,False,True,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True
5,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True
6,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True
7,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
8,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
9,True,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True
10,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True
11,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True
12,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True
13,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True
14,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,True
16,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True
17,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
18,False,False,False,True,False,False,False,True,True,True,False,True,False,False,True,False,False,True
19,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True
20,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True
21,False,False,True,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True
22,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True
23,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True
24,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True
25,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True
26,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True
27,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,True
28,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True
29,True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True
30,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True
31,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False,False,False,True
32,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False
