,day,minute,hour,second,type
0,Monday,0,8,14,traffic
1,Monday,0,8,28,traffic
2,Monday,0,8,34,traffic
3,Monday,0,8,45,traffic
4,Monday,0,8,53,traffic
5,Monday,0,8,57,traffic
6,Monday,1,8,18,traffic
7,Monday,1,8,34,traffic
8,Monday,1,8,55,traffic
9,Monday,2,8,5,traffic
10,Monday,2,8,25,traffic
11,Monday,2,8,47,traffic
12,Monday,3,8,2,traffic
13,Monday,3,8,11,traffic
14,Monday,3,8,23,traffic
15,Monday,3,8,38,traffic
16,Monday,3,8,55,traffic
17,Monday,4,8,1,traffic
18,Monday,4,8,25,traffic
19,Monday,4,8,36,traffic
20,Monday,4,8,44,traffic
21,Monday,4,8,54,traffic
22,Monday,5,8,17,traffic
23,Monday,5,8,29,traffic
24,Monday,5,8,52,traffic
25,Monday,6,8,1,traffic
26,Monday,6,8,3,traffic
27,Monday,6,8,7,traffic
28,Monday,6,8,22,traffic
29,Monday,6,8,33,traffic
30,Monday,7,8,2,traffic
31,Monday,7,8,8,traffic
32,Monday,7,8,26,traffic
33,Monday,7,8,43,traffic
34,Monday,8,8,5,traffic
35,Monday,8,8,19,traffic
36,Monday,8,8,25,traffic
37,Monday,8,8,30,traffic
38,Monday,8,8,55,traffic
39,Monday,8,8,56,traffic
40,Monday,9,8,6,traffic
41,Monday,9,8,11,traffic
42,Monday,9,8,32,traffic
43,Monday,10,8,1,traffic
44,Monday,10,8,29,traffic
45,Monday,10,8,49,traffic
46,Monday,11,8,18,traffic
47,Monday,11,8,39,traffic
48,Monday,12,8,4,traffic
49,Monday,12,8,7,traffic
50,Monday,12,8,28,traffic
51,Monday,12,8,53,traffic
52,Monday,12,8,54,traffic
53,Monday,13,8,8,traffic
54,Monday,13,8,22,traffic
55,Monday,13,8,35,traffic
56,Monday,14,8,0,traffic
57,Monday,14,8,16,traffic
58,Monday,14,8,44,traffic
59,Monday,15,8,11,traffic
61,Monday,15,8,13,traffic
62,Monday,15,8,16,traffic
63,Monday,15,8,32,traffic
64,Monday,15,8,47,traffic
65,Monday,16,8,7,traffic
66,Monday,16,8,15,traffic
